Cell Line,Collection,Receptor Status,Molecular Subtype,BRCA1,BRCA2,CDH1,MAP3K1,MLL3,PIK3CA,PTEN,TP53,GATA3*,MAP2K4,Media Base,Media Additives,Atcc Number,Link
184B5,ICBP43,NM,"Non malignant, Basal",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,MEBM ,1 ng/ml cholera toxin (unfiltered),CRL-8799,http://www.atcc.org/Products/All/CRL-8799.aspx
AU-565,ICBP43,HER2amp,Luminal,WT,WT,WT,WT,MUT,WT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2351,http://www.atcc.org/Products/All/CRL-2351.aspx
BT-20,ICBP43; Core 6,TNBC,Basal A,WT,MUT,WT,WT,WT,MUT,WT,MUT,WT,WT,EMEM ,10% FBS  +  1% P/S,HTB-19,http://www.atcc.org/Products/All/HTB-19.aspx
BT-474,ICBP43,HER2amp,Luminal,WT,MUT,WT,WT,WT,MUT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,HTB-20,http://www.atcc.org/Products/All/HTB-20.aspx
BT-483,ICBP43,HR+,Luminal,WT,WT,WT,WT,WT,MUT,WT,MUT,MUT*,WT,RPMI-1640 ,20% FBS  +  10 ug/ml bovine insulin +  1% P/S ,HTB-121,http://www.atcc.org/Products/All/HTB-121.aspx
BT-549,ICBP43,TNBC,"Claudin low, Basal B",WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1 ug/ml insulin  +  1% P/S,HTB-122,http://www.atcc.org/Products/All/HTB-122.aspx
CAMA-1,ICBP43,HR+,Luminal,WT,WT,MUT,MUT,WT,WT,MUT,MUT,WT,WT,EMEM ,10% FBS  +  1% P/S,HTB-21,http://www.atcc.org/Products/All/HTB-21.aspx
DU4475,ICBP43,TNBC,No data,WT,WT,WT,WT,MUT,WT,WT,WT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,HTB-123,http://www.atcc.org/Products/All/HTB-123.aspx
HCC38,ICBP43,TNBC,"Claudin low, Basal B",WT,WT,WT,WT,MUT,MUT,WT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2314,http://www.atcc.org/Products/All/CRL-2314.aspx
HCC70,ICBP43,TNBC,Basal A,WT,WT,WT,WT,WT,WT,MUT,MUT,WT,WT,RPMI-1640 ,10% FBS  +  1% P/S,CRL-2315,http://www.atcc.org/Products/All/CRL-2315.aspx
