Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
COL1A1	-0.58874	-0.46197	-0.36998	0.8673	2.5825	-0.50532	-0.5609	-0.3445	-0.27981	-0.33857
COL1A2	-0.65686	-0.37118	-0.38992	0.94984	2.5429	-0.54059	-0.52724	-0.3403	-0.30158	-0.36506
COL3A1	-0.56292	-0.31572	-0.37557	1.3337	2.3311	-0.42525	-0.69988	-0.37982	-0.40586	-0.49981
COL2A1	-0.76921	-0.51631	-0.5214	0.79243	2.5164	-0.6954	-0.50063	-0.40882	0.013859	0.089036
TAGLN	-0.69205	0.1514	-0.72759	1.0531	2.4132	-0.56228	-0.44213	-0.55359	-0.23783	-0.4022
THY1	-0.39364	-0.13863	-0.7416	1.0776	2.405	-0.54244	-0.29143	-0.4257	-0.074578	-0.87456
DPYSL3	-0.74861	-0.2778	-0.64476	0.66739	2.5588	-0.12383	-0.61333	-0.32765	0.16387	-0.65411
SARM1	-1.0166	-0.18076	-0.015989	1.0749	2.2701	-0.57681	-0.39434	-0.56316	0.26747	-0.86481
SPARC	-0.84497	-0.21002	0.21657	1.2502	2.263	-0.56203	-0.49047	-0.58815	-0.32491	-0.7092
ZCCHC6	-0.8999	-0.734	0.17956	1.0576	2.2636	-0.20562	-0.53223	-0.43419	0.21001	-0.90482
A2M	-0.72846	-0.023859	-0.44545	1.3088	2.2551	-0.02742	-0.79243	-0.38451	-0.47951	-0.68226
SYNC	-0.8319	0.049228	-0.33627	1.4443	2.1665	-0.36733	-0.59588	-0.20569	-0.61127	-0.71175
FBN1	-0.82048	0.53107	-0.34811	1.2192	2.1574	-0.28289	-0.49329	-0.54774	-0.4265	-0.98867
PZP	-0.91715	0.42969	-0.55043	1.2925	2.0816	0.057291	-0.90998	-0.48636	-0.2725	-0.72473
ADAM12	-0.48594	-0.1128	-0.37039	1.7071	1.9392	-0.36417	-0.85632	-0.39644	-0.10932	-0.95093
DPYSL4	-0.50086	0.15303	-0.23069	1.4658	1.9329	-0.52193	-0.57644	0.22535	-0.62943	-1.3177
SPOCK1	-0.54193	0.63158	-0.37328	1.4522	1.7715	0.10534	-0.74604	-0.36265	-0.55212	-1.3846
FN1	-0.38617	0.8463	-0.34137	0.13983	2.4986	-0.37912	-0.78933	-0.50078	-0.27337	-0.81454
POSTN	-0.38739	0.18411	-0.43162	0.41844	2.6672	-0.53002	-0.53762	-0.37053	-0.26077	-0.75185
TPM2	-0.64135	0.4627	0.1132	0.76799	2.1861	-0.7024	-0.89195	-0.21828	0.196	-1.272
COL5A3	-0.10279	-0.40559	-0.50231	0.71695	2.3066	-0.56777	-0.47195	0.78769	-0.98595	-0.7749
FHL1	-0.004636	-0.3135	-0.32509	0.69334	2.4943	-0.39446	-0.95564	0.16655	-0.49156	-0.86928
EVA1B	-0.46315	0.14333	-0.70801	1.8595	1.5542	-0.80279	0.29721	-0.4309	-0.26559	-1.1838
PRRX1	-1.0013	0.16777	-0.84523	1.5633	1.8207	-0.030964	0.24356	-0.36381	-0.5582	-0.99586
PPP3CC	-0.62761	0.69387	-0.42569	1.5525	1.6884	-0.068171	-0.55245	-0.42755	-1.4214	-0.41186
ROBO1	-1.0835	0.97745	-0.89413	1.4157	1.6857	-0.67758	-0.21304	-0.041497	-0.45094	-0.71819
VCAN	-1.106	1.3726	-0.33076	1.1269	1.6782	-0.53879	-0.41005	-0.39847	-0.464	-0.9297
BNC2	-0.72415	-0.62277	0.16629	1.823	1.5622	-0.77167	0.25818	0.018187	-1.1485	-0.56085
COL5A2	-0.66676	-0.40901	0.12026	1.7728	1.9226	-0.63252	-0.62489	-0.47947	-0.57664	-0.4263
DDR2	-0.82016	-0.38772	0.38517	1.944	1.6208	-0.57607	-0.36088	-0.45987	-0.52369	-0.82153
WDR7	-1.3433	-0.84515	0.22654	1.5298	1.8545	-0.52424	-0.16675	0.012056	-0.56076	-0.18263
CNRIP1	-0.65687	-0.021195	-0.82034	1.9389	1.7532	-0.63935	-0.36765	-0.23224	-0.54379	-0.41062
KCNMA1	-0.93588	-0.25211	-0.58294	1.6287	1.9577	-0.49371	-0.18556	-0.27533	-0.93588	0.075005
CDKN2C	-1.2986	-0.29231	0.039991	1.5213	1.7706	0.49494	-0.16996	-0.90184	-0.66102	-0.50314
PBK	-0.88114	-0.72195	0.35078	1.9963	1.3489	0.13174	0.012653	-0.59206	-0.98576	-0.65943
APC	-0.072218	-1.1988	0.70112	1.5214	1.572	-0.033867	-0.49512	-0.04699	-0.71368	-1.2339
CCDC85B	0.12094	-1.6367	0.78845	0.85862	1.3965	0.53863	-0.48037	0.34564	-0.47028	-1.4614
CNPY4	-0.46305	-0.4956	-0.061796	1.4314	1.8255	-0.060833	-0.091574	0.33632	-0.98622	-1.4342
TTC1	-0.28447	-0.63869	-0.080479	1.3779	1.6338	0.80281	-0.46925	0.12466	-1.1463	-1.32
CTHRC1	0.21884	-0.94142	0.59612	0.85052	2.2114	-0.52618	-0.368	-0.31766	-0.64045	-1.0832
EBF3	0.80472	-0.34669	0.017985	1.0101	2.1343	-0.78626	-0.83307	-0.70158	-0.589	-0.71055
CPQ	-0.75077	0.021854	1.0574	0.24756	2.2184	0.093911	-0.92467	-0.39285	-0.58108	-0.98972
SDC2	-1.0182	-0.41869	0.748	0.41343	2.266	0.28922	-0.65956	-0.17706	-0.31451	-1.1286
SEC23A	-0.99717	-0.51621	0.52668	0.43587	2.2657	0.20356	-1.3451	0.15195	-0.38901	-0.33627
RHOA	-0.78634	-0.43546	0.57124	0.56781	2.1433	0.61282	-0.81859	-1.2683	-0.54167	-0.044793
SYNM	-0.98817	-0.92194	0.59663	0.84533	1.886	0.99517	-0.76919	-0.64575	-0.65534	-0.34275
FERMT2	-1.6492	-0.54159	0.86099	1.1857	1.5203	0.13329	-0.42177	-0.92473	0.40025	-0.56323
PIN1	-1.6482	-0.23756	0.79706	0.69907	1.7779	0.16784	-1.1919	-0.57732	0.36875	-0.1556
ANKH	0.044248	-0.32137	-0.49352	1.4017	2.0179	0.11676	-1.1418	-1.0667	-0.23369	-0.32358
RND3	-0.12962	-0.7451	-0.209	1.2742	2.0963	-0.11457	-1.3694	-0.63749	0.087904	-0.25321
DAB2	0.27253	-0.81953	-0.4804	1.6041	1.8967	-0.32689	-0.72171	-0.84969	0.12324	-0.69838
TYRO3	0.63	-1.1498	-0.06349	1.6698	1.5616	-0.13124	-1.0361	-0.802	-0.13195	-0.54678
FSTL1	-0.33761	-0.36979	0.045521	1.701	1.6962	-0.21408	-0.97539	-1.0399	0.36759	-0.87348
FSTL1	0.18044	-0.57408	0.093522	1.7966	1.404	-0.25431	-1.0594	-1.0144	0.43852	-1.0108
CEP97	0.2547	-1.1889	-0.82059	1.176	1.5874	0.49246	-0.50063	-1.3953	0.65983	-0.26503
DXO	-0.042225	-1.4423	-0.46099	1.527	1.6357	0.19382	-0.49588	-0.58422	0.54817	-0.87907
GJA1	0.35061	-0.64257	-0.19402	2.307	1.139	-0.47942	-0.58765	-0.49443	-0.63071	-0.7678
STARD13	0.70537	-0.7347	-0.74333	2.3068	0.86296	-0.12295	-0.46022	-0.69846	-0.49762	-0.61784
MFAP2	1.0098	-1.0205	-0.29732	1.8736	1.198	-0.31843	-0.86943	-0.33423	-0.33332	-0.9082
HMOX1	-0.10418	-0.33685	-0.84761	2.389	1.0518	-0.74791	-0.80715	-0.29553	-0.1408	-0.16071
SNX9	0.053244	-0.03676	-0.56928	2.1649	1.2695	-0.032367	-1.0543	-0.90202	-0.60172	-0.29119
ZC3H7B	1.3459	-0.12531	-0.64844	0.96865	1.7067	-0.51716	-0.48343	-1.0548	-0.059058	-1.1331
ZNF414	0.68835	-0.71511	-1.5634	1.3322	1.5963	0.20729	-0.039889	-0.66546	0.031061	-0.87134
APOBEC3B	0.052307	-0.31115	-0.90686	1.5134	1.7382	-0.04939	-0.93876	-0.66388	-1.0379	0.60405
COL12A1	-0.29948	0.54719	-0.59101	1.5739	1.4166	-0.52304	-1.0672	-1.1896	-0.61969	0.75229
ARHGEF40	-0.016628	0.19595	-1.6266	1.4854	1.1228	0.34911	-1.0685	-1.0477	-0.086362	0.69248
CALD1	-0.76446	0.65967	-0.24772	-0.1811	2.1388	-0.19446	-1.0371	-0.82658	-0.61393	1.0669
SPECC1L	-0.75456	0.51781	-0.36544	-0.035103	2.239	-0.49357	-0.75587	-0.93865	-0.46399	1.0504
CALD1	-0.98624	0.48865	-0.09283	0.18884	2.2764	-0.29222	-0.98624	-0.98624	-0.28231	0.67217
CALD1	-0.97321	0.68261	-0.37305	0.055094	2.2844	-0.22737	-0.88189	-1.0148	-0.1409	0.58912
COL5A1	-0.87875	-0.45371	-0.35398	1.0076	2.3299	0.14034	-1.0176	-0.303	-0.54751	0.07665
KANK2	-1.3346	-0.078037	-0.78984	1.0856	2.1333	0.013072	-0.76871	-0.12628	-0.41601	0.28148
MYH10	-0.64388	-0.7612	-0.30179	0.87733	2.055	-0.0074299	-1.3772	-0.41493	-0.29967	0.87383
CCDC80	-0.60083	1.0071	-0.96449	0.81074	1.9032	0.35478	-1.2561	-0.77087	-0.24079	-0.24281
