cell_line	small_molecule	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
BT-20	(R)- Roscovitine	0.04	4573.6667	4489	1362.6667	1.0218
BT-20	(R)- Roscovitine	0.12	4477	4489	1362.6667	0.99689
BT-20	(R)- Roscovitine	0.37	4159	4489	1362.6667	0.91315
BT-20	(R)- Roscovitine	1.11	3890.3333	4489	1362.6667	0.8403
BT-20	(R)- Roscovitine	3.33	3607.6667	4489	1362.6667	0.76133
BT-20	(R)- Roscovitine	10	1849	4489	1362.6667	0.19416
BT-20	A443654	0.04	2828.3333	4327	1362.6667	0.54972
BT-20	A443654	0.12	2293.3333	4327	1362.6667	0.36655
BT-20	A443654	0.37	1409	4327	1362.6667	0.020261
BT-20	A443654	1.11	1026.3333	4327	1362.6667	-0.15637
BT-20	A443654	3.33	806.6667	4327	1362.6667	-0.26986
BT-20	A443654	10	440.3333	4327	1362.6667	-0.49221
BT-20	AT-7519	0.04	3962.6667	4327	1362.6667	0.8972
BT-20	AT-7519	0.12	3340.6667	4327	1362.6667	0.71249
BT-20	AT-7519	0.37	1913.6667	4327	1362.6667	0.22595
BT-20	AT-7519	1.11	972	4327	1362.6667	-0.18346
BT-20	AT-7519	3.33	702.3333	4327	1362.6667	-0.32808
BT-20	AT-7519	10	578.6667	4327	1362.6667	-0.40178
BT-20	AZD 5438	0.04	3936.6667	4327	1362.6667	0.88973
BT-20	AZD 5438	0.12	3162	4327	1362.6667	0.65695
BT-20	AZD 5438	0.37	2265	4327	1362.6667	0.35639
BT-20	AZD 5438	1.11	1529	4327	1362.6667	0.071534
BT-20	AZD 5438	3.33	1145.6667	4327	1362.6667	-0.098826
BT-20	AZD 5438	10	656.6667	4327	1362.6667	-0.35464
BT-20	AZD-6482	0.04	4371.3333	4489	1362.6667	0.96935
BT-20	AZD-6482	0.12	4080.6667	4489	1362.6667	0.89212
BT-20	AZD-6482	0.37	3582	4489	1362.6667	0.75403
BT-20	AZD-6482	1.11	2806	4489	1362.6667	0.5219
BT-20	AZD-6482	3.33	1995	4489	1362.6667	0.24811
BT-20	AZD-6482	10	1177.3333	4489	1362.6667	-0.081485
BT-20	AZD7762	0.04	4551	4327	1362.6667	1.0615
BT-20	AZD7762	0.12	3942	4327	1362.6667	0.89126
BT-20	AZD7762	0.37	3131.6667	4327	1362.6667	0.64739
BT-20	AZD7762	1.11	2027.3333	4327	1362.6667	0.26913
BT-20	AZD7762	3.33	1246.6667	4327	1362.6667	-0.051974
BT-20	AZD7762	10	569.6667	4327	1362.6667	-0.40738
BT-20	AZD8055	0.04	2124.6667	4327	1362.6667	0.30534
BT-20	AZD8055	0.12	1819.6667	4327	1362.6667	0.18946
BT-20	AZD8055	0.37	1567	4327	1362.6667	0.087431
BT-20	AZD8055	1.11	1514.3333	4327	1362.6667	0.065356
BT-20	AZD8055	3.33	1374.3333	4327	1362.6667	0.0051274
BT-20	AZD8055	10	893	4327	1362.6667	-0.22394
BT-20	AZD8330	0.04	3335	4489	1362.6667	0.68266
BT-20	AZD8330	0.12	3530.6667	4489	1362.6667	0.73938
BT-20	AZD8330	0.37	3561.3333	4489	1362.6667	0.74814
BT-20	AZD8330	1.11	3527.6667	4489	1362.6667	0.73852
BT-20	AZD8330	3.33	3690.6667	4489	1362.6667	0.78478
BT-20	AZD8330	10	3744.3333	4489	1362.6667	0.79982
BT-20	Afatinib	0.04	3301.3333	4327	1362.6667	0.70037
BT-20	Afatinib	0.12	3597.6667	4327	1362.6667	0.79035
BT-20	Afatinib	0.37	3692	4327	1362.6667	0.81837
BT-20	Afatinib	1.11	3893.6667	4327	1362.6667	0.87732
BT-20	Afatinib	3.33	3828	4327	1362.6667	0.85826
BT-20	Afatinib	10	1488.6667	4327	1362.6667	0.054486
BT-20	BEZ235	0.04	2045.3333	4489	1362.6667	0.26633
BT-20	BEZ235	0.12	1719.6667	4489	1362.6667	0.14486
