cell_line	small_molecule	GR50	GRmax	GR_AUC	EC50	GRinf	Hill	r2	pval
BT-20	(R)- Roscovitine	5.6777	0.19416	0.17548	14.4256	-1	1.1782	0.97227	0.00076891
BT-20	A443654	0.053033	-0.49221	1.0012	0.23019	-0.63357	0.55758	0.98743	0.00015792
BT-20	AT-7519	0.20444	-0.40178	0.86351	0.32038	-0.40563	1.3224	0.99936	4.1444e-07
BT-20	AZD 5438	0.24591	-0.35464	0.7481	0.5504	-0.4461	0.79155	0.99091	8.2539e-05
BT-20	AZD-6482	1.2867	-0.081485	0.42682	3.3958	-0.54825	0.76277	0.99881	1.4085e-06
BT-20	AZD7762	0.65373	-0.40738	0.5818	1.3902	-0.56942	1.0076	0.98951	0.00011012
BT-20	AZD8055	-Inf	-0.22394	0.92212	1.5167	-1	0.16953	0.92233	0.0060323
BT-20	AZD8330	Inf	0.78478	0.24961	0	0.74888	0.01	0	1
BT-20	Afatinib	Inf	0.054486	0.25541	0	0.68319	0.01	-1.0634e-12	0.12908
BT-20	BEZ235	0.014787	0.054133	0.894	0.012959	0.071138	1.1636	0.94954	0.0025465
BT-20	BI-2536	-Inf	-0.12471	1.1531	0	-0.15077	0.01	0	1
BT-20	BMS-387032	0.077449	-0.31591	1.0851	0.092472	-0.29493	2.6152	0.99823	3.1254e-06
BT-20	BMS345541	5.3312	0.0081955	0.1828	10.2175	-1	1.6888	0.98158	0.00033924
BT-20	BX-912	7.694	0.35277	0.14623	17.5843	-0.99999	1.3291	0.93653	0.004029
BT-20	BYL719	1.1683	-0.14539	0.4342	1.9725	-0.36053	1.0366	0.98765	0.00015242
BT-20	Barasertib	0.24668	-0.01329	0.64146	0.29372	-0.066258	0.71297	0.99199	6.4132e-05
BT-20	Brivanib	Inf	0.79581	0.078977	0	0.9126	0.01	-1.1661e-11	0.057742
BT-20	Buparlisib	0.38865	-0.33856	0.70084	0.55748	-0.34977	1.4702	0.99886	1.2907e-06
BT-20	CGP60474	0.035155	-0.40505	1.214	0.045506	-0.33463	1.9855	0.97985	0.00040605
