	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(fold change)	Measured pAkt:30min log10(fold change)	Measured pAkt:90min log10(fold change)	Measured pErk:10min log10(fold change)	Measured pErk:30min log10(fold change)	Measured pErk:90min log10(fold change)
0	50029	MCF7	200852.0	BTC	1.0	ng/ml	0.039779125333	0.284396347279	-0.163429105577	4.5019807692	4.36937679494	3.87712066143
1	50029	MCF7	200852.0	BTC	100.0	ng/ml	0.573525402009	0.415870234088	0.216872980256	4.77067594684	4.54237497067	3.83130687356
2	50057	SK-BR-3	200852.0	BTC	1.0	ng/ml	0.28498026194	0.304338372561	0.07230867139	4.59224826015	4.5554142933	4.45509017471
3	50057	SK-BR-3	200852.0	BTC	100.0	ng/ml	0.696728124497	0.703515276828	0.69046895085	4.62075390689	4.58763592771	4.48674276102
4	50058	MDA-MB-231	200852.0	BTC	1.0	ng/ml	0.573909049484	0.138846138768	0.0248862692162	4.11883386423	4.02460436411	3.8795932834
5	50058	MDA-MB-231	200852.0	BTC	100.0	ng/ml	0.731137524928	0.562538028971	0.256774425889	4.23959587469	3.9597316104	3.71737288437
6	50091	AU565	200852.0	BTC	1.0	ng/ml	0.0587633997185	0.165724664719	-0.03456051892	4.57490889441	4.57196201106	4.41698048837
7	50091	AU565	200852.0	BTC	100.0	ng/ml	0.523601272129	0.64508830432	0.558839941923	4.6344024764	4.64422617639	4.54283747255
8	50105	BT-20	200852.0	BTC	1.0	ng/ml	0.307871784645	0.279679611426	0.24731514039	4.43715436198	4.3551775811	4.30682030223
9	50105	BT-20	200852.0	BTC	100.0	ng/ml	0.316061937878	0.343287642812	0.311939018501	4.45680056571	4.42307046549	4.34577893527
10	50106	BT-474	200852.0	BTC	1.0	ng/ml	0.0639092197518	0.0671503137018	0.0186376962276	4.42955402534	4.30888552335	4.19546840801
11	50106	BT-474	200852.0	BTC	100.0	ng/ml	0.541339547643	0.585055286198	0.640799570377	4.64561624364	4.51753809012	4.35626832479
12	50107	BT-483	200852.0	BTC	1.0	ng/ml	0.0608741060573	0.0343283260681	-0.120740631184	4.31439242008	3.93435985889	3.39046365945
13	50107	BT-483	200852.0	BTC	100.0	ng/ml	0.189966296965	0.240869957904	0.254663544681	4.49165149569	3.76184450299	3.24668589759
14	50108	BT-549	200852.0	BTC	1.0	ng/ml	0.0862597324776	0.0162844687559	0.0190395884853	3.96363277542	3.69071045857	3.80427767551
15	50108	BT-549	200852.0	BTC	100.0	ng/ml	0.222552117539	0.163437068342	-0.0072496851999	4.29271799471	3.96418177086	3.55727194548
16	50131	CAMA-1	200852.0	BTC	1.0	ng/ml	0.0851338676533	0.164702778562	-0.00682853539126	4.17816469025	4.20220609744	3.83572892719
17	50131	CAMA-1	200852.0	BTC	100.0	ng/ml	0.233536008235	0.358849842261	0.2430429844	4.51163963335	4.12062074694	3.87179533777
18	50206	HCC1395	200852.0	BTC	1.0	ng/ml	0.24432514429	0.314166295391	0.32233900576	4.23594887774	4.18369237036	4.00915477771
19	50206	HCC1395	200852.0	BTC	100.0	ng/ml	0.333368645095	0.364914817651	0.224850214201	4.28309574976	4.05068469948	3.36066383399
20	50207	HCC1419	200852.0	BTC	1.0	ng/ml	0.185496901796	0.0813727721993	-0.153886985795	4.54896213705	4.37378097336	4.42116793306
21	50207	HCC1419	200852.0	BTC	100.0	ng/ml	0.429042971923	0.393725030228	0.298645692295	4.66442791527	4.52100689911	4.58736497396
22	50208	HCC1428	200852.0	BTC	1.0	ng/ml	0.0	0.0	0.0	4.52273388826	4.41574086948	4.04576241109
23	50208	HCC1428	200852.0	BTC	100.0	ng/ml	0.0	0.0	0.0	4.62252406487	4.28035463288	3.64336985653
24	50210	HCC1569	200852.0	BTC	1.0	ng/ml	0.164910403306	0.211388688387	0.0705001383478	4.62447273093	4.52694588349	4.29264788964
25	50210	HCC1569	200852.0	BTC	100.0	ng/ml	0.582453238817	0.599808196543	0.508260255562	4.6591691987	4.55239711716	4.35215821624
26	50211	HCC1806	200852.0	BTC	1.0	ng/ml	0.267264591508	0.38572541759	0.471653995319	4.6582769128	4.63719344764	4.62135383867
27	50211	HCC1806	200852.0	BTC	100.0	ng/ml	0.383838750412	0.324897336001	0.27768591713	4.79192863191	4.62803772486	4.50653789413
28	50212	HCC1937	200852.0	BTC	1.0	ng/ml	0.751866344626	0.466698177539	0.532602905257	4.55459707211	4.40421536448	4.39785522611
29	50212	HCC1937	200852.0	BTC	100.0	ng/ml	0.894400217545	0.759369645197	0.442708773432	4.60073574317	4.48053061347	4.14415356332
30	50213	HCC1954	200852.0	BTC	1.0	ng/ml	0.294927039745	0.31372470064	0.349987586439	4.5804600432	4.53341289907	4.50537070668
31	50213	HCC1954	200852.0	BTC	100.0	ng/ml	0.584753060502	0.514090890897	0.632028757264	4.63766051175	4.55068001681	4.48717212748
32	50214	HCC202	200852.0	BTC	1.0	ng/ml	0.0470011458132	0.051751335875	0.0435376869962	4.42397878673	4.47269595095	4.37001418793
33	50214	HCC202	200852.0	BTC	100.0	ng/ml	0.119985952729	0.104594355038	0.0996930771799	4.70058911576	4.56071480887	4.24662355788
34	50216	HCC38	200852.0	BTC	1.0	ng/ml	0.41003351283	0.389345454129	0.329834986939	4.5676327074	4.48334536536	4.35862708995
35	50216	HCC38	200852.0	BTC	100.0	ng/ml	0.640210555703	0.445084157787	0.188840191649	4.70599927137	4.46068303177	3.87610850243
36	50219	HCC70	200852.0	BTC	1.0	ng/ml	0.475220946641	0.471506642281	0.495242530316	4.40732589992	4.15014999936	4.15800664711
37	50219	HCC70	200852.0	BTC	100.0	ng/ml	0.581353868723	0.64516289049	0.53230591791	4.60701794599	4.21366021409	3.84371739709
38	50238	Hs 578T	200852.0	BTC	1.0	ng/ml	0.949893492854	0.843211681653	0.74308285396	4.64528432456	4.46313096232	4.27973812693
39	50238	Hs 578T	200852.0	BTC	100.0	ng/ml	1.34036630904	1.24539170517	0.809108833224	4.82279863035	4.65592046922	4.11833695916
40	50327	MDA-MB-134-VI	200852.0	BTC	1.0	ng/ml	0.0	0.0	0.0	3.30800683569	3.34854901202	3.00693602395
41	50327	MDA-MB-134-VI	200852.0	BTC	100.0	ng/ml	0.0	0.0	0.0	3.14585123986	3.05550370816	3.13778913752
42	50328	MDA-MB-157	200852.0	BTC	1.0	ng/ml	0.44177763366	0.341136927776	0.0	4.15667506031	4.25769695401	4.14449845631
43	50328	MDA-MB-157	200852.0	BTC	100.0	ng/ml	0.660350913821	0.358537245855	0.0	4.38479760835	4.18882387506	3.52003498876
44	50329	MDA-MB-175-VII	200852.0	BTC	1.0	ng/ml	-0.0104250053628	0.0665490442041	-0.054604071024	4.47565005408	4.51097130758	4.47756191237
45	50329	MDA-MB-175-VII	200852.0	BTC	100.0	ng/ml	0.0314913731777	0.0278142657742	-0.111654710513	4.51048043761	4.58816380909	4.56122564091
46	50331	MDA-MB-361	200852.0	BTC	1.0	ng/ml	0.19782127023	0.179563102209	0.0254001949021	3.5845682121	3.20354497628	2.22055261987
47	50331	MDA-MB-361	200852.0	BTC	100.0	ng/ml	0.545131291214	0.644600641784	0.698186020545	3.64252337849	3.33874247597	2.67029317746
48	50332	MDA-MB-415	200852.0	BTC	1.0	ng/ml	0.0312224120331	0.206058621601	0.181373010346	3.86359055287	3.78688509615	3.5314123627
