	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
0	50029	MCF7	200852.0	BTC	1.0	ng/ml	3.15216323732	3.39678045927	2.94895500641	4.5019807692	4.36937679494	3.87712066143	3.11238411199	2.39581197208
1	50029	MCF7	200852.0	BTC	100.0	ng/ml	3.685909514	3.52825434608	3.32925709224	4.77067594684	4.54237497067	3.83130687356	3.11238411199	2.39581197208
2	50057	SK-BR-3	200852.0	BTC	1.0	ng/ml	4.26751276213	4.28687087275	4.05484117158	4.59224826015	4.5554142933	4.45509017471	3.98253250019	3.3860141044
3	50057	SK-BR-3	200852.0	BTC	100.0	ng/ml	4.67926062469	4.68604777702	4.67300145104	4.62075390689	4.58763592771	4.48674276102	3.98253250019	3.3860141044
4	50058	MDA-MB-231	200852.0	BTC	1.0	ng/ml	3.6604187215	3.22535581078	3.11139594123	4.11883386423	4.02460436411	3.8795932834	3.08650967202	2.45109838573
5	50058	MDA-MB-231	200852.0	BTC	100.0	ng/ml	3.81764719694	3.64904770099	3.34328409791	4.23959587469	3.9597316104	3.71737288437	3.08650967202	2.45109838573
6	50091	AU565	200852.0	BTC	1.0	ng/ml	4.02585592358	4.13281718858	3.93253200494	4.57490889441	4.57196201106	4.41698048837	3.96709252386	3.98127061579
7	50091	AU565	200852.0	BTC	100.0	ng/ml	4.49069379599	4.61218082818	4.52593246578	4.6344024764	4.64422617639	4.54283747255	3.96709252386	3.98127061579
8	50105	BT-20	200852.0	BTC	1.0	ng/ml	4.20039340062	4.1722012274	4.13983675636	4.43715436198	4.3551775811	4.30682030223	3.89252161597	2.62108068491
9	50105	BT-20	200852.0	BTC	100.0	ng/ml	4.20858355385	4.23580925878	4.20446063447	4.45680056571	4.42307046549	4.34577893527	3.89252161597	2.62108068491
10	50106	BT-474	200852.0	BTC	1.0	ng/ml	4.38539693968	4.38863803363	4.34012541616	4.42955402534	4.30888552335	4.19546840801	4.32148771993	3.89930232186
11	50106	BT-474	200852.0	BTC	100.0	ng/ml	4.86282726757	4.90654300613	4.96228729031	4.64561624364	4.51753809012	4.35626832479	4.32148771993	3.89930232186
12	50107	BT-483	200852.0	BTC	1.0	ng/ml	3.54852625769	3.5219804777	3.36691152045	4.31439242008	3.93435985889	3.39046365945	3.48765215163	2.53222041631
13	50107	BT-483	200852.0	BTC	100.0	ng/ml	3.6776184486	3.72852210954	3.74231569631	4.49165149569	3.76184450299	3.24668589759	3.48765215163	2.53222041631
14	50108	BT-549	200852.0	BTC	1.0	ng/ml	4.08019522477	4.01021996105	4.01297508078	3.96363277542	3.69071045857	3.80427767551	3.99393549229	3.37862970508
15	50108	BT-549	200852.0	BTC	100.0	ng/ml	4.21648760983	4.15737256064	3.9866858071	4.29271799471	3.96418177086	3.55727194548	3.99393549229	3.37862970508
16	50131	CAMA-1	200852.0	BTC	1.0	ng/ml	3.83864423167	3.91821314258	3.74668182862	4.17816469025	4.20220609744	3.83572892719	3.75351036401	1.88562126646
17	50131	CAMA-1	200852.0	BTC	100.0	ng/ml	3.98704637225	4.11236020628	3.99655334842	4.51163963335	4.12062074694	3.87179533777	3.75351036401	1.88562126646
18	50206	HCC1395	200852.0	BTC	1.0	ng/ml	4.25483871788	4.32467986898	4.33285257935	4.23594887774	4.18369237036	4.00915477771	4.01051357359	3.36066383399
19	50206	HCC1395	200852.0	BTC	100.0	ng/ml	4.34388221868	4.37542839124	4.23536378779	4.28309574976	4.05068469948	3.36066383399	4.01051357359	3.36066383399
20	50207	HCC1419	200852.0	BTC	1.0	ng/ml	4.61901027431	4.51488614471	4.27962638671	4.54896213705	4.37378097336	4.42116793306	4.43351337251	4.3597440433
21	50207	HCC1419	200852.0	BTC	100.0	ng/ml	4.86255634443	4.82723840274	4.7321590648	4.66442791527	4.52100689911	4.58736497396	4.43351337251	4.3597440433
22	50208	HCC1428	200852.0	BTC	1.0	ng/ml	3.01708302977	3.01708302977	3.01708302977	4.52273388826	4.41574086948	4.04576241109	3.01708302977	2.11493774959
23	50208	HCC1428	200852.0	BTC	100.0	ng/ml	3.01708302977	3.01708302977	3.01708302977	4.62252406487	4.28035463288	3.64336985653	3.01708302977	2.11493774959
24	50210	HCC1569	200852.0	BTC	1.0	ng/ml	4.53810567262	4.5845839577	4.44369540767	4.62447273093	4.52694588349	4.29264788964	4.37319526932	3.71356034381
25	50210	HCC1569	200852.0	BTC	100.0	ng/ml	4.95564850813	4.97300346586	4.88145552488	4.6591691987	4.55239711716	4.35215821624	4.37319526932	3.71356034381
26	50211	HCC1806	200852.0	BTC	1.0	ng/ml	4.17460790032	4.2930687264	4.37899730413	4.6582769128	4.63719344764	4.62135383867	3.90734330881	3.79432112839
