	Cell Line HMS LINCS ID	Cell Line Name	ERK log10(pg/cell)	Akt log10(pg/cell)	ErbB1 log10(pg/cell)	ErbB2 log10(pg/cell)	ErbB3 log10(pg/cell)	ErbB4 log10(pg/cell)	InsR log10(pg/cell)	IGF1R log10(pg/cell)	IGF2R log10(pg/cell)	VEGFR1 log10(pg/cell)	VEGFR2 log10(pg/cell)	VEGFR3 log10(pg/cell)	PDGFRa log10(pg/cell)	PDGFRb log10(pg/cell)	c-Met log10(pg/cell)	c-Kit log10(pg/cell)	EphA2 log10(pg/cell)	Src log10(pg/cell)	TrkA log10(pg/cell)	FGFR1 log10(pg/cell)	FGFR2 log10(pg/cell)	FGFR3 log10(pg/cell)	FGFR4 log10(pg/cell)	EpCAM log10(pg/cell)	pERK RnD log10(a.u.)	pERK CST log10(a.u.)	pAkt log10(a.u.)	pErbB1 log10(a.u.)	pErbB2 log10(a.u.)	pErbB3 log10(a.u.)	pErbB4 log10(a.u.)	pInsR log10(a.u.)	pIGF1R log10(a.u.)	pIGF1R log10(Y1131) log10(a.u.)	pVEGFR1 log10(a.u.)	pVEGFR2 log10(a.u.)	pVEGFR3 log10(a.u.)	pPDGFRa log10(a.u.)	pPDGFRb log10(a.u.)	pc-Met log10(a.u.)	pc-Kit log10(a.u.)	pEphA2 log10(a.u.)	pSrc log10(a.u.)	pTrkA log10(a.u.)	ER log10(a.u.)	PR log10(a.u.)
0	50576	184B5	0.000454	-1.839111484	-0.699943915	-1.754215983	-2.675511767	-4.823908741	-2.829151796	-1.612236556	-1.607092105	-3.966576245	-2.973058372	-3.714442691	-3.467245621	-5.22184875	-0.375012877	-6.762	-1.646333767	-0.137314771	-5.698970004	-0.881388109	-5.698970004	-4.744727495	-6	-1.357931373	-3.91721463	-3.004803708	-1.189626326	-1.13256787	-2.354479485	-4.283996656	-2.710857164	-1.12181727	-1.737145655	-1.552547369	-4.431798276	-4.886056648	-4.096910013	-2.900319359	-3.872895202	-3.056011125	-2.903437562	-4.638272164	-3.326979093	-3.366531544	-4.886056648	-4.214670165
1	50091	AU565	0.00072	-1.496713336	-1.236339946	0.074512913	-1.536883764	-4.823908741	-2.234256959	-2.556267759	-1.653979721	-3.886056648	-6	-3.714442691	-3.749579998	-5.22184875	-1.112776669	-6.762	-2.17685194	-1.127610612	-5.698970004	-0.761650248	-5.698970004	-4.744727495	-6	-0.565662675	-3.385102784	-2.734474665	-0.563139543	-0.105966542	0.034617629	-1.120090223	-1.727253589	-1.253910957	-1.948268804	-2.052174316	-4.431798276	-4.886056648	-2.730487056	-2.758204569	-3.872895202	-2.509900995	-2.903437562	-3.818156412	-4.619788758	-3.935542011	-4.638272164	-4.180456064
2	50105	BT-20	0.000448	-1.711236724	-0.371094312	-1.484258583	-2.129771721	-4.823908741	-3.084600165	-1.530177984	-2.424696667	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-0.711359594	-6.762	-2.419531216	-0.182637613	-5.698970004	-0.877119259	-5.698970004	-4.744727495	-6	-0.471809873	-3.950781977	-3.368556231	-0.689054042	-0.71059613	-1.938359066	-4.283996656	-2.485452247	-2.297828049	-4.431798276	-2.044649043	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-2.187086643	-2.903437562	-4.638272164	-3.563837353	-3.935542011	-4.585026652	-4.207608311
3	50106	BT-474	0.001056	-1.226652458	-2.167491087	0.024148117	-1.579334768	-4.823908741	-2.597738618	-1.806708397	-1.734356858	-3.192464972	-6	-3.714442691	-3.749579998	-5.22184875	-2.482936127	-6.762	-2.736600669	-1.869248223	-5.698970004	-0.749565359	-2.763210901	-3.1837587	-2.669180534	-1.000417123	-3.769551079	-3.171984936	-0.645693675	-0.905770019	-0.003234917	-1.189236703	-1.596176251	-1.476747922	-1.868349262	-2.737074531	-4.431798276	-4.886056648	-2.471854922	-2.261060969	-3.872895202	-3.085128182	-2.903437562	-4.638272164	-4.638272164	-3.185752404	-4.236572006	-4.244125144
4	50107	BT-483	0.001683	-1.405684812	-2.710188161	-0.696477804	-1.034436146	-4.823908741	-2.128719027	-1.021650548	-1.825736619	-3.142667504	-6	-3.714442691	-3.749579998	-5.22184875	-4.075720714	-6.762	-4.585026652	0.682074193	-5.698970004	-0.485591722	-5.698970004	-4.744727495	-1.780572665	-0.377369503	-4.568636236	-3.202732459	-0.9164508	-2.497982785	-1.680373516	-4.283996656	-2.362910726	-1.236332462	-0.96528333	-1.122024288	-4.431798276	-4.886056648	-4.096910013	-2.541815564	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-2.633763876	-3.935542011	-2.969400278	-3.195179321
5	50108	BT-549	0.001734	-1.546314806	-0.856126833	-1.951519353	-4.15490196	-4.823908741	-4.214670165	-2.235823868	-1.114599198	-3.301899454	-6	-3.714442691	-3.303643611	-3.823908741	-0.51973572	-6.762	-0.542654114	-0.531316	-5.698970004	-0.530571235	-5.698970004	-4.744727495	-6	-4.075720714	-3.322393047	-2.689519109	-0.518468515	-1.78672137	-1.912857721	-4.283996656	-1.837764276	-2.126214539	-2.236721789	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.342657263	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.692503962	-3.935542011	-4.387216143	-3.928117993
6	50131	CAMA-1	0.001036	-1.795825734	-1.625526611	-1.199365391	-1.414561832	-2.610302452	-2.751046385	-2.249800272	-1.898149862	-3.91721463	-6	-3.714442691	-3.749579998	-3.866461092	-4.075720714	-6.762	-3.124938737	-1.238583397	-5.698970004	-0.897775602	-5.698970004	-4.744727495	-2.3801765	-1.136165806	-4.568636236	-3.320572103	-0.567908197	-3.294992041	-2.129537568	-4.283996656	-2.84924356	-1.702414555	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-4.602059991	-3.935542011	-2.83386603	-2.345727173
7	50578	HCC1187	0.001231	-1.169892722	-1.103865265	-1.381084182	-2.458545571	-4.823908741	-1.954950987	-3.233587153	-1.276478655	-3.113509275	-2.73072061	-3.714442691	-3.40560745	-3.539102157	-4.075720714	-1.723515218	-2.426316307	-0.542096919	-5.698970004	-0.553326167	-3.338187314	-4.744727495	-6	-0.799872104	-3.806875402	-3.195179321	-0.603610582	-1.986699213	-1.810032702	-4.283996656	-2.823041019	-4.795880017	-4.431798276	-2.737074531	-4.431798276	-1.931628582	-4.096910013	-2.930331903	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-4.187086643	-3.935542011	-4.229147988	-3.832682665
8	50206	HCC1395	0.000674	-1.397690361	-1.405000083	-2.514704561	-4.15490196	-4.823908741	-4.214670165	-2.844360366	-1.924745099	-3.43062609	-6	-3.714442691	-3.097997109	-5.22184875	-1.530501985	-6.762	-1.807181743	-0.911360776	-5.698970004	-0.763626512	-5.698970004	-4.744727495	-6	-4.075720714	-4.568636236	-2.845880474	-0.451642525	-2.5592483	-2.651889932	-4.283996656	-3.165579296	-2.138704606	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.801342913	-3.935542011	-5.22184875	-4.244125144
9	50207	HCC1419	0.002537	-1.166043725	-4.075720714	0.481864535	-1.370743348	-4.823908741	-4.214670165	-2.260111345	-1.417311794	-5.15490196	-6	-3.714442691	-3.749579998	-3.480172006	-4.075720714	-6.762	-1.702151982	-1.885222268	-5.698970004	-0.739861803	-5.698970004	-3.540607512	-2.833273944	-0.471650308	-3.202732459	-2.315064917	-0.247076927	-1.061115181	0.385908387	-0.803188457	-0.563136366	-1.04838567	-1.248366829	-2.737074531	-4.431798276	-2.945386945	-2.230844309	-1.871665363	-3.872895202	-2.279592599	-2.903437562	-2.98254927	-4.920818754	-2.726304412	-3.716698771	-3.920818754
10	50208	HCC1428	0.001057	-1.120462592	-1.403073186	-1.412131954	-1.473298961	-2.919734373	-4.214670165	-1.603975103	-1.716359611	-3.375717904	-6	-3.714442691	-3.749579998	-3.575118363	-4.075720714	-6.762	-3.077274542	0.188624512	-5.698970004	-0.753907837	-5.698970004	-4.744727495	-2.277612906	-0.777611324	-3.962573502	-3.679853714	-2.438779321	-1.824662171	-2.651889932	-4.283996656	-2.364415734	-4.795880017	-4.431798276	-2.737074531	-4.431798276	-2.391367011	-4.096910013	-5.045757491	-3.872895202	-2.477295007	-2.903437562	-4.638272164	-2.698102283	-3.935542011	-2.632271454	-2.991399828
11	50579	HCC1500	0.001627	-1.521779924	-2.069050969	-1.544820024	-1.669728309	-3.273272791	-1.856423168	-1.618199258	-1.350227173	-3.278189385	-6	-3.714442691	-3.749579998	-3.335358024	-4.075720714	-6.762	-4.585026652	-0.404396871	-5.698970004	-0.685044192	-2.472112434	-3.247951552	-3.510041521	-0.901986545	-3.616184634	-3.630784143	-2.392866796	-2.145936988	-1.996194926	-4.283996656	-2.561774192	-1.451401778	-2.627824714	-1.415453943	-4.431798276	-4.886056648	-4.096910013	-2.838033384	-3.872895202	-2.009927665	-2.903437562	-4.638272164	-3.826813732	-3.048176965	-2.320844759	-2.714667772
12	50210	HCC1569	0.001239	-1.588818176	-2.091354161	0.082625262	-1.620893995	-4.823908741	-4.214670165	-1.196167478	-1.677263996	-3.714442691	-6	-3.714442691	-3.749579998	-5.22184875	-1.373782854	-6.762	-1.93711731	0.183387443	-5.698970004	-0.661868353	-3.127843727	-3.005243055	-6	-0.968474393	-3.242603971	-3.415668776	-0.424098927	-1.846856143	-0.329188448	-3.189095719	-2.471211808	-2.45038376	-2.290645224	-2.737074531	-4.431798276	-4.886056648	-3.399027104	-5.045757491	-3.872895202	-2.593630165	-2.903437562	-4.638272164	-3.472370099	-3.935542011	-4.22184875	-3.596879479
13	50211	HCC1806	0.000318	-1.933487722	-0.886414253	-1.855861862	-2.259084924	-4.823908741	-2.805208242	-2.223226198	-1.839411432	-5.15490196	-6	-3.714442691	-3.749579998	-3.809668302	-0.575860236	-2.910094889	-1.39184852	-0.816314572	-5.698970004	-0.952943308	-3.673664139	-3.286509457	-6	-0.656156345	-4.568636236	-3.372634143	-2.218029326	-1.983426254	-2.339798799	-4.283996656	-2.905878404	-2.420673796	-2.787812396	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-3.284832642	-3.872895202	-2.678815973	-2.903437562	-4.638272164	-4.113509275	-3.935542011	-4.537602002	-4.356547324
14	50212	HCC1937	0.001734	-1.636275231	-0.898541635	-1.620948424	-2.637517525	-4.823908741	-2.56944123	-2.714667772	-2.032498825	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-0.699456687	-6.762	-0.869273935	-0.875763216	-5.698970004	-0.6474239	-3.511449284	-3.07211659	-6	-0.280535296	-4.568636236	-2.67141655	-0.528524926	-2.281913705	-2.651889932	-4.283996656	-2.298259368	-1.526367073	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.920818754	-3.935542011	-4.142667504	-3.920818754
15	50213	HCC1954	0.001529	-1.533859282	-1.206796519	0.30716131	-1.790619048	-4.823908741	-4.214670165	-2.11463878	-1.776815679	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-0.200465785	-4.102372909	-1.562582418	-0.687909426	-5.698970004	-0.631083055	-5.698970004	-4.744727495	-6	-0.454199479	-3.673664139	-3.022276395	-0.168168604	-0.57233865	-0.068403828	-1.778742293	-1.761026051	-1.640904776	-2.30390584	-1.688754879	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-2.142607189	-2.903437562	-3.677780705	-3.647817482	-3.935542011	-4.721246399	-4.142667504
