Cell Line HMSLID	Cell Line Name	ERK1/2 log_{10}(pg/cell)	Akt log_{10}(pg/cell)	ErbB1 log_{10}(pg/cell)	ErbB2 log_{10}(pg/cell)	ErbB3 log_{10}(pg/cell)	ErbB4 log_{10}(pg/cell)	InsR log_{10}(pg/cell)	IGF1R log_{10}(pg/cell)	IGF2R log_{10}(pg/cell)	VEGFR1 log_{10}(pg/cell)	VEGFR2 log_{10}(pg/cell)	VEGFR3 log_{10}(pg/cell)	PDGFRa log_{10}(pg/cell)	PDGFRb log_{10}(pg/cell)	c-Met log_{10}(pg/cell)	c-Kit log_{10}(pg/cell)	EphA2 log_{10}(pg/cell)	Src log_{10}(pg/cell)	TrkA log_{10}(pg/cell)	FGFR1 log_{10}(pg/cell)	FGFR2 log_{10}(pg/cell)	FGFR3 log_{10}(pg/cell)	FGFR4 log_{10}(pg/cell)	EpCAM log_{10}(pg/cell)	pERK1/2 (RnD) log_{10}(a.u.)	pERK1/2 (CST) log_{10}(a.u.)	pAkt log_{10}(a.u.)	pErbB1 log_{10}(a.u.)	pErbB2 log_{10}(a.u.)	pErbB3 log_{10}(a.u.)	pErbB4 log_{10}(a.u.)	pInsR log_{10}(a.u.)	pIGF1R log_{10}(a.u.)	pIGF1R (Y1131) log_{10}(a.u.)	pVEGFR1 log_{10}(a.u.)	pVEGFR2 log_{10}(a.u.)	pVEGFR3 log_{10}(a.u.)	pPDGFRa log_{10}(a.u.)	pPDGFRb log_{10}(a.u.)	pc-Met log_{10}(a.u.)	pc-Kit log_{10}(a.u.)	pEphA2 log_{10}(a.u.)	pSrc log_{10}(a.u.)	pTrkA log_{10}(a.u.)	ER log_{10}(pg/cell)	PR log_{10}(pg/cell)
50576	184B5	-3.3432	-1.8391	-0.69994	-1.7542	-2.6755	-4.8305	-2.8293	-1.6122	-1.6071	-3.9647	-2.973	-3.7138	-3.4675	-5.2009	-0.37501	-6.7618	-1.6463	-0.13731	-5.7948	-0.88139	-5.6827	-4.7391	-6.2488	-1.3579	-3.9179	-3.0046	-1.1896	-1.1326	-2.3545	-4.284	-2.7108	-1.1218	-1.7371	-1.5526	-4.4331	-4.8833	-4.0995	-2.9004	-3.8722	-3.0559	-2.9033	-4.6471	-3.3274	-3.3669	-4.8739	-4.2168
50091	AU565	-3.1426	-1.4967	-1.2363	0.07451	-1.5369	-4.8305	-2.2343	-2.5562	-1.654	-3.8847	-6.1598	-3.7138	-3.7493	-5.2009	-1.1128	-6.7618	-2.1768	-1.1276	-5.7948	-0.76165	-5.6827	-4.7391	-6.2488	-0.56566	-3.3855	-2.7345	-0.56314	-0.10597	0.03462	-1.1201	-1.7273	-1.2539	-1.9483	-2.0522	-4.4331	-4.8833	-2.7306	-2.7581	-3.8722	-2.5099	-2.9033	-3.8176	-4.6174	-3.9337	-4.6414	-4.1789
50105	BT-20	-3.3487	-1.7112	-0.37109	-1.4843	-2.1298	-4.8305	-3.0843	-1.5302	-2.4247	-5.1252	-6.1598	-3.7138	-3.7493	-5.2009	-0.71136	-6.7618	-2.4196	-0.18264	-5.7948	-0.87712	-5.6827	-4.7391	-6.2488	-0.47181	-3.9518	-3.3684	-0.68905	-0.7106	-1.9384	-4.284	-2.4854	-2.2978	-4.4321	-2.0446	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-2.1871	-2.9033	-4.6471	-3.5639	-3.9337	-4.5863	-4.2057
50106	BT-474	-2.9764	-1.2267	-2.1675	0.02415	-1.5793	-4.8305	-2.5978	-1.8067	-1.7344	-3.1926	-6.1598	-3.7138	-3.7493	-5.2009	-2.4829	-6.7618	-2.7367	-1.8693	-5.7948	-0.74957	-2.7632	-3.1837	-2.6692	-1.0004	-3.7708	-3.172	-0.64569	-0.90577	-0.00323	-1.1892	-1.5962	-1.4768	-1.8684	-2.7371	-4.4331	-4.8833	-2.4718	-2.2611	-3.8722	-3.085	-2.9033	-4.6471	-4.6432	-3.1861	-4.2392	-4.2449
50107	BT-483	-2.774	-1.4057	-2.7102	-0.69648	-1.0344	-4.8305	-2.1287	-1.0216	-1.8257	-3.1429	-6.1598	-3.7138	-3.7493	-5.2009	-4.0736	-6.7618	-4.5781	0.68207	-5.7948	-0.48559	-5.6827	-4.7391	-1.7806	-0.37737	-4.5767	-3.2028	-0.91645	-2.498	-1.6804	-4.284	-2.3629	-1.2363	-0.96528	-1.122	-4.4331	-4.8833	-4.0995	-2.5419	-3.8722	-4.7858	-2.9033	-4.6471	-2.6338	-3.9337	-2.9693	-3.1953
50108	BT-549	-2.7611	-1.5463	-0.85613	-1.9515	-4.1577	-4.8305	-4.2121	-2.2358	-1.1146	-3.302	-6.1598	-3.7138	-3.3035	-3.8235	-0.51974	-6.7618	-0.54265	-0.53132	-5.7948	-0.53057	-5.6827	-4.7391	-6.2488	-4.0736	-3.3222	-2.6896	-0.51847	-1.7867	-1.9128	-4.284	-1.8378	-2.1262	-2.2367	-2.7371	-4.4331	-4.8833	-4.0995	-2.3426	-3.8722	-4.7858	-2.9033	-4.6471	-3.6921	-3.9337	-4.3876	-3.9283
50131	CAMA-1	-2.9846	-1.7958	-1.6255	-1.1994	-1.4146	-2.6102	-2.7509	-2.2498	-1.8982	-3.9172	-6.1598	-3.7138	-3.7493	-3.8679	-4.0736	-6.7618	-3.1247	-1.2386	-5.7948	-0.89778	-5.6827	-4.7391	-2.3802	-1.1362	-4.5767	-3.3207	-0.56791	-3.2949	-2.1295	-4.284	-2.8492	-1.7024	-4.4321	-2.7371	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-4.7858	-2.9033	-4.6471	-4.5941	-3.9337	-2.8338	-2.3457
50578	HCC1187	-2.9097	-1.1699	-1.1039	-1.3811	-2.4585	-4.8305	-1.955	-3.2332	-1.2765	-3.1133	-2.7307	-3.7138	-3.4058	-3.5389	-4.0736	-1.7235	-2.4264	-0.5421	-5.7948	-0.55333	-3.3385	-4.7391	-6.2488	-0.79987	-3.8074	-3.1948	-0.60361	-1.9867	-1.81	-4.284	-2.8231	-4.7903	-4.4321	-2.7371	-4.4331	-1.9316	-4.0995	-2.9302	-3.8722	-4.7858	-2.9033	-4.6471	-4.1894	-3.9337	-4.2308	-3.8314
50206	HCC1395	-3.1715	-1.3977	-1.405	-2.5146	-4.1577	-4.8305	-4.2121	-2.8443	-1.9248	-3.4305	-6.1598	-3.7138	-3.0978	-5.2009	-1.5305	-6.7618	-1.8072	-0.91136	-5.7948	-0.76363	-5.6827	-4.7391	-6.2488	-4.0736	-4.5767	-2.846	-0.45164	-2.5592	-2.652	-4.284	-3.1653	-2.1387	-4.4321	-2.7371	-4.4331	-4.8833	-4.0995	-5.0244	-3.8722	-4.7858	-2.9033	-4.6471	-3.8015	-3.9337	-5.1871	-4.2405
50207	HCC1419	-2.5957	-1.166	-4.0736	0.48186	-1.3707	-4.8305	-4.2121	-2.2601	-1.4173	-5.1252	-6.1598	-3.7138	-3.7493	-3.4798	-4.0736	-6.7618	-1.7022	-1.8852	-5.7948	-0.73986	-5.6827	-3.5406	-2.8332	-0.47165	-3.2029	-2.3151	-0.24708	-1.0611	0.38591	-0.80319	-0.56314	-1.0484	-1.2484	-2.7371	-4.4331	-2.9454	-2.2309	-1.8717	-3.8722	-2.2796	-2.9033	-2.9827	-4.9085	-2.7263	-3.7176	-3.9209
